,date_mutation,valeur_fonciere,surface_reelle_bati,code_postal,longitude,latitude
2243125,2017-03-02,185000.0,49.0,69003.0,4.864564,45.7545
2243128,2017-03-15,304930.0,73.0,69007.0,4.84874,45.749107
2243129,2017-02-01,125000.0,41.0,69006.0,4.861377,45.770990000000005
2243131,2017-03-16,137750.0,84.0,69008.0,4.878085,45.731916
2243134,2017-03-03,312900.0,63.0,69003.0,4.843021,45.762337
2243135,2017-03-17,180000.0,63.0,69003.0,4.87069,45.758977
2243138,2017-03-07,170000.0,96.0,69008.0,4.881842,45.723095
2243141,2017-03-09,196050.0,57.0,69007.0,4.826544,45.738896999999994
2243142,2017-03-10,198000.0,55.0,69007.0,4.850586,45.747393
2243144,2017-03-07,147000.0,47.0,69003.0,4.8933029999999995,45.75375
2243146,2017-03-09,142000.0,47.0,69008.0,4.866265,45.742477
2243148,2017-03-08,285000.0,98.0,69003.0,4.865293,45.754111
2243149,2017-03-16,126000.0,39.0,69007.0,4.839626,45.748003000000004
2243150,2017-03-17,240000.0,100.0,69006.0,4.847327,45.763861999999996
2243151,2017-03-17,173000.0,46.0,69007.0,4.855826,45.747515
2243154,2017-03-07,175000.0,45.0,69007.0,4.833108999999999,45.744144
2243155,2017-03-10,240000.0,75.0,69006.0,4.859432,45.76886
2243181,2017-03-09,349000.0,106.0,69003.0,4.848619,45.757765
2243183,2017-03-15,185000.0,49.0,69003.0,4.878768,45.744488
2243185,2017-03-17,390000.0,92.0,69003.0,4.847528,45.754303
2243187,2017-03-08,996050.0,110.0,69006.0,4.842230000000001,45.773377
2243188,2017-03-08,996050.0,200.0,69006.0,4.842230000000001,45.773377
2243192,2017-03-07,337000.0,87.0,69003.0,4.8439,45.755158
2243193,2017-03-08,587846.0,121.0,69003.0,4.8659,45.750602
2243199,2017-03-02,210000.0,60.0,69003.0,4.868587000000001,45.746712
2243200,2017-03-08,210706.0,59.0,69008.0,4.883349,45.732229
2243202,2017-03-09,176930.0,88.0,69007.0,4.8295010000000005,45.729076
2243204,2017-03-17,162000.0,53.0,69007.0,4.828253,45.731153000000006
2243207,2017-03-17,177300.0,49.0,69003.0,4.889547,45.75212
2243209,2017-03-10,131500.0,32.0,69007.0,4.837806,45.742816999999995
2243210,2017-03-08,415000.0,124.0,69003.0,4.865442,45.757574
2243213,2017-03-08,178000.0,44.0,69007.0,4.837806,45.742816999999995
2243216,2017-03-09,347035.0,89.0,69007.0,4.835903,45.743802
2243218,2017-03-14,245000.0,82.0,69003.0,4.869034,45.750733000000004
2243221,2017-03-20,120000.0,40.0,69007.0,4.848898,45.753075
2243222,2017-03-09,562500.0,69.0,69006.0,4.854998999999999,45.768758
2243223,2017-03-09,562500.0,69.0,69006.0,4.854998999999999,45.768758
2243224,2017-03-10,206950.0,45.0,69006.0,4.848471,45.7638
2243226,2017-03-10,504000.0,124.0,69006.0,4.846938,45.773958
2243228,2017-03-10,95000.0,40.0,69003.0,4.883428,45.750885
2243229,2017-03-10,616500.0,59.0,69006.0,4.850132,45.765679999999996
2243230,2017-03-10,616500.0,59.0,69006.0,4.850132,45.765679999999996
2243231,2017-03-10,616500.0,40.0,69006.0,4.850132,45.765679999999996
2243232,2017-03-22,309000.0,75.0,69007.0,4.82932,45.735215000000004
2243235,2017-03-24,336000.0,75.0,69007.0,4.82932,45.735215000000004
2243239,2017-03-02,276000.0,65.0,69008.0,4.872889,45.736338
2243244,2017-03-21,360000.0,83.0,69007.0,4.82932,45.735215000000004
2243246,2017-03-21,532000.0,125.0,69003.0,4.845872,45.760777000000004
2243248,2017-03-15,125000.0,35.0,69003.0,4.8686300000000005,45.759142
2243250,2017-03-20,63500.0,17.0,69007.0,4.849596,45.743245
